option,1A,1B,1D,1E,1G,1I,1K,1L,third_groups_key
1,3E,3J,3I,3F,3H,3G,3L,3K,EFGHIJKL
2,3H,3G,3I,3D,3J,3F,3L,3K,DFGHIJKL
3,3E,3J,3I,3D,3H,3G,3L,3K,DEGHIJKL
4,3E,3J,3I,3D,3H,3F,3L,3K,DEFHIJKL
5,3E,3G,3I,3D,3J,3F,3L,3K,DEFGIJKL
6,3E,3G,3J,3D,3H,3F,3L,3K,DEFGHJKL
7,3E,3G,3I,3D,3H,3F,3L,3K,DEFGHIKL
8,3E,3G,3J,3D,3H,3F,3L,3I,DEFGHIJL
9,3E,3G,3J,3D,3H,3F,3I,3K,DEFGHIJK
10,3H,3G,3I,3C,3J,3F,3L,3K,CFGHIJKL
11,3E,3J,3I,3C,3H,3G,3L,3K,CEGHIJKL
12,3E,3J,3I,3C,3H,3F,3L,3K,CEFHIJKL
13,3E,3G,3I,3C,3J,3F,3L,3K,CEFGIJKL
14,3E,3G,3J,3C,3H,3F,3L,3K,CEFGHJKL
15,3E,3G,3I,3C,3H,3F,3L,3K,CEFGHIKL
16,3E,3G,3J,3C,3H,3F,3L,3I,CEFGHIJL
17,3E,3G,3J,3C,3H,3F,3I,3K,CEFGHIJK
18,3H,3G,3I,3C,3J,3D,3L,3K,CDGHIJKL
19,3C,3J,3I,3D,3H,3F,3L,3K,CDFHIJKL
20,3C,3G,3I,3D,3J,3F,3L,3K,CDFGIJKL
21,3C,3G,3J,3D,3H,3F,3L,3K,CDFGHJKL
22,3C,3G,3I,3D,3H,3F,3L,3K,CDFGHIKL
23,3C,3G,3J,3D,3H,3F,3L,3I,CDFGHIJL
24,3C,3G,3J,3D,3H,3F,3I,3K,CDFGHIJK
25,3E,3J,3I,3C,3H,3D,3L,3K,CDEHIJKL
26,3E,3G,3I,3C,3J,3D,3L,3K,CDEGIJKL
27,3E,3G,3J,3C,3H,3D,3L,3K,CDEGHJKL
28,3E,3G,3I,3C,3H,3D,3L,3K,CDEGHIKL
29,3E,3G,3J,3C,3H,3D,3L,3I,CDEGHIJL
30,3E,3G,3J,3C,3H,3D,3I,3K,CDEGHIJK
31,3C,3J,3E,3D,3I,3F,3L,3K,CDEFIJKL
32,3C,3J,3E,3D,3H,3F,3L,3K,CDEFHJKL
33,3C,3E,3I,3D,3H,3F,3L,3K,CDEFHIKL
34,3C,3J,3E,3D,3H,3F,3L,3I,CDEFHIJL
35,3C,3J,3E,3D,3H,3F,3I,3K,CDEFHIJK
36,3C,3G,3E,3D,3J,3F,3L,3K,CDEFGJKL
37,3C,3G,3E,3D,3I,3F,3L,3K,CDEFGIKL
38,3C,3G,3E,3D,3J,3F,3L,3I,CDEFGIJL
39,3C,3G,3E,3D,3J,3F,3I,3K,CDEFGIJK
40,3C,3G,3E,3D,3H,3F,3L,3K,CDEFGHKL
41,3C,3G,3J,3D,3H,3F,3L,3E,CDEFGHJL
42,3C,3G,3J,3D,3H,3F,3E,3K,CDEFGHJK
43,3C,3G,3E,3D,3H,3F,3L,3I,CDEFGHIL
44,3C,3G,3E,3D,3H,3F,3I,3K,CDEFGHIK
45,3C,3G,3J,3D,3H,3F,3E,3I,CDEFGHIJ
46,3H,3J,3B,3F,3I,3G,3L,3K,BFGHIJKL
47,3E,3J,3I,3B,3H,3G,3L,3K,BEGHIJKL
48,3E,3J,3B,3F,3I,3H,3L,3K,BEFHIJKL
49,3E,3J,3B,3F,3I,3G,3L,3K,BEFGIJKL
50,3E,3J,3B,3F,3H,3G,3L,3K,BEFGHJKL
51,3E,3G,3B,3F,3I,3H,3L,3K,BEFGHIKL
52,3E,3J,3B,3F,3H,3G,3L,3I,BEFGHIJL
53,3E,3J,3B,3F,3H,3G,3I,3K,BEFGHIJK
54,3H,3J,3B,3D,3I,3G,3L,3K,BDGHIJKL
55,3H,3J,3B,3D,3I,3F,3L,3K,BDFHIJKL
56,3I,3G,3B,3D,3J,3F,3L,3K,BDFGIJKL
57,3H,3G,3B,3D,3J,3F,3L,3K,BDFGHJKL
58,3H,3G,3B,3D,3I,3F,3L,3K,BDFGHIKL
59,3H,3G,3B,3D,3J,3F,3L,3I,BDFGHIJL
60,3H,3G,3B,3D,3J,3F,3I,3K,BDFGHIJK
61,3E,3J,3B,3D,3I,3H,3L,3K,BDEHIJKL
62,3E,3J,3B,3D,3I,3G,3L,3K,BDEGIJKL
63,3E,3J,3B,3D,3H,3G,3L,3K,BDEGHJKL
64,3E,3G,3B,3D,3I,3H,3L,3K,BDEGHIKL
65,3E,3J,3B,3D,3H,3G,3L,3I,BDEGHIJL
66,3E,3J,3B,3D,3H,3G,3I,3K,BDEGHIJK
67,3E,3J,3B,3D,3I,3F,3L,3K,BDEFIJKL
68,3E,3J,3B,3D,3H,3F,3L,3K,BDEFHJKL
69,3E,3I,3B,3D,3H,3F,3L,3K,BDEFHIKL
70,3E,3J,3B,3D,3H,3F,3L,3I,BDEFHIJL
71,3E,3J,3B,3D,3H,3F,3I,3K,BDEFHIJK
72,3E,3G,3B,3D,3J,3F,3L,3K,BDEFGJKL
73,3E,3G,3B,3D,3I,3F,3L,3K,BDEFGIKL
74,3E,3G,3B,3D,3J,3F,3L,3I,BDEFGIJL
75,3E,3G,3B,3D,3J,3F,3I,3K,BDEFGIJK
76,3E,3G,3B,3D,3H,3F,3L,3K,BDEFGHKL
77,3H,3G,3B,3D,3J,3F,3L,3E,BDEFGHJL
78,3H,3G,3B,3D,3J,3F,3E,3K,BDEFGHJK
79,3E,3G,3B,3D,3H,3F,3L,3I,BDEFGHIL
80,3E,3G,3B,3D,3H,3F,3I,3K,BDEFGHIK
81,3H,3G,3B,3D,3J,3F,3E,3I,BDEFGHIJ
82,3H,3J,3B,3C,3I,3G,3L,3K,BCGHIJKL
83,3H,3J,3B,3C,3I,3F,3L,3K,BCFHIJKL
84,3I,3G,3B,3C,3J,3F,3L,3K,BCFGIJKL
85,3H,3G,3B,3C,3J,3F,3L,3K,BCFGHJKL
86,3H,3G,3B,3C,3I,3F,3L,3K,BCFGHIKL
87,3H,3G,3B,3C,3J,3F,3L,3I,BCFGHIJL
88,3H,3G,3B,3C,3J,3F,3I,3K,BCFGHIJK
89,3E,3J,3B,3C,3I,3H,3L,3K,BCEHIJKL
90,3E,3J,3B,3C,3I,3G,3L,3K,BCEGIJKL
91,3E,3J,3B,3C,3H,3G,3L,3K,BCEGHJKL
92,3E,3G,3B,3C,3I,3H,3L,3K,BCEGHIKL
93,3E,3J,3B,3C,3H,3G,3L,3I,BCEGHIJL
94,3E,3J,3B,3C,3H,3G,3I,3K,BCEGHIJK
95,3E,3J,3B,3C,3I,3F,3L,3K,BCEFIJKL
96,3E,3J,3B,3C,3H,3F,3L,3K,BCEFHJKL
97,3E,3I,3B,3C,3H,3F,3L,3K,BCEFHIKL
98,3E,3J,3B,3C,3H,3F,3L,3I,BCEFHIJL
99,3E,3J,3B,3C,3H,3F,3I,3K,BCEFHIJK
