canonical_team,alias,alias_norm
Algeria,Algeria,algeria
Algeria,Argelia,argelia
Argentina,Argentina,argentina
Austria,Austria,austria
Belgium,Belgica,belgica
Belgium,Belgium,belgium
Belgium,Bélgica,belgica
Cape Verde,Cabo Verde,cabo verde
Cape Verde,Cape Verde,cape verde
Colombia,Colombia,colombia
Croatia,Croatia,croatia
DR Congo,DR Congo,dr congo
Egypt,Egipto,egipto
Egypt,Egypt,egypt
England,England,england
England,Inglaterra,inglaterra
France,France,france
France,Francia,francia
Ghana,Ghana,ghana
Iran,Iran,iran
Iran,Irán,iran
Iraq,Irak,irak
Iraq,Iraq,iraq
Jordan,Jordan,jordan
Jordan,Jordania,jordania
New Zealand,New Zealand,new zealand
New Zealand,Nueva Zelanda,nueva zelanda
Norway,Noruega,noruega
Norway,Norway,norway
Panama,Panama,panama
Portugal,Portugal,portugal
Saudi Arabia,Arabia Saudita,arabia saudita
Saudi Arabia,Saudi Arabia,saudi arabia
Senegal,Senegal,senegal
Spain,Espana,espana
Spain,España,espana
Spain,Spain,spain
Uruguay,Uruguay,uruguay
Uzbekistan,Uzbekistan,uzbekistan
