group,position,team,played,wins,draws,losses,gf,ga,gd,points,conduct_score,ranking_proxy,tie_random_residual,third_random_residual,third_rank,qualifies_as_best_third,qualified
A,1,Mexico,3,3,0,0,6,0,6,9,0.0,0.0,0.7739560485559633,,,,True
A,2,South Africa,3,1,1,1,2,3,-1,4,0.0,0.0,0.4388784397520523,,,,True
A,3,South Korea,3,1,0,2,2,3,-1,3,0.0,0.0,0.8585979199113825,0.7739560485559633,5.0,True,True
B,1,Switzerland,3,2,1,0,7,3,4,7,0.0,0.0,0.6973680290593639,,,,True
B,2,Canada,3,1,1,1,8,3,5,4,0.0,0.0,0.7739560485559633,,,,True
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,0.0,0.0,0.4388784397520523,0.4388784397520523,3.0,True,True
C,1,Brazil,3,2,1,0,7,1,6,7,0.0,0.0,0.7739560485559633,,,,True
C,2,Morocco,3,2,1,0,6,3,3,7,0.0,0.0,0.4388784397520523,,,,True
C,3,Scotland,3,1,0,2,1,4,-3,3,0.0,0.0,0.6973680290593639,0.8585979199113825,7.0,True,True
D,1,United States,3,2,0,1,7,3,4,6,0.0,0.0,0.7739560485559633,,,,True
D,2,Australia,3,1,1,1,4,4,0,4,0.0,0.0,0.8585979199113825,,,,True
D,3,Paraguay,3,1,1,1,4,6,-2,4,0.0,0.0,0.4388784397520523,0.6973680290593639,4.0,True,True
E,1,Germany,3,3,0,0,12,3,9,9,0.0,0.0,0.7739560485559633,,,,True
E,2,Ivory Coast,3,2,0,1,5,3,2,6,0.0,0.0,0.8585979199113825,,,,True
F,1,Netherlands,3,2,1,0,15,5,10,7,0.0,0.0,0.7739560485559633,,,,True
F,2,Sweden,3,2,0,1,7,6,1,6,0.0,0.0,0.8585979199113825,,,,True
F,3,Japan,3,1,1,1,6,3,3,4,0.0,0.0,0.4388784397520523,0.9756223516367559,1.0,True,True
G,1,Egypt,3,2,1,0,6,2,4,7,0.0,0.0,0.4388784397520523,,,,True
G,2,Belgium,3,1,2,0,5,3,2,5,0.0,0.0,0.7739560485559633,,,,True
H,1,Spain,3,2,1,0,8,1,7,7,0.0,0.0,0.7739560485559633,,,,True
H,2,Cape Verde,3,0,3,0,3,3,0,3,0.0,0.0,0.4388784397520523,,,,True
I,1,France,3,3,0,0,8,1,7,9,0.0,0.0,0.7739560485559633,,,,True
I,2,Norway,3,2,0,1,7,5,2,6,0.0,0.0,0.6973680290593639,,,,True
J,1,Argentina,3,3,0,0,11,0,11,9,0.0,0.0,0.7739560485559633,,,,True
J,2,Austria,3,2,0,1,5,3,2,6,0.0,0.0,0.8585979199113825,,,,True
J,3,Algeria,3,1,0,2,2,6,-4,3,0.0,0.0,0.4388784397520523,0.45038593789556713,8.0,True,True
K,1,Colombia,3,3,0,0,6,2,4,9,0.0,0.0,0.6973680290593639,,,,True
K,2,Portugal,3,1,1,1,7,3,4,4,0.0,0.0,0.7739560485559633,,,,True
K,3,DR Congo,3,1,1,1,3,3,0,4,0.0,0.0,0.4388784397520523,0.37079802423258124,2.0,True,True
L,1,England,3,2,1,0,9,2,7,7,0.0,0.0,0.7739560485559633,,,,True
L,2,Ghana,3,2,1,0,2,0,2,7,0.0,0.0,0.8585979199113825,,,,True
L,3,Croatia,3,1,0,2,3,5,-2,3,0.0,0.0,0.4388784397520523,0.9267649888486018,6.0,True,True
