group,position,team,played,wins,draws,losses,gf,ga,gd,points,conduct_score,ranking_proxy,tie_random_residual
A,1,Mexico,3,3,0,0,6,0,6,9,0.0,0.0,0.7739560485559633
A,2,South Africa,3,1,1,1,2,3,-1,4,0.0,0.0,0.4388784397520523
A,3,South Korea,3,1,0,2,2,3,-1,3,0.0,0.0,0.8585979199113825
A,4,Czech Republic,3,0,1,2,2,6,-4,1,0.0,0.0,0.6973680290593639
B,1,Switzerland,3,2,1,0,7,3,4,7,0.0,0.0,0.6973680290593639
B,2,Canada,3,1,1,1,8,3,5,4,0.0,0.0,0.7739560485559633
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,0.0,0.0,0.4388784397520523
B,4,Qatar,3,0,1,2,2,10,-8,1,0.0,0.0,0.8585979199113825
C,1,Brazil,3,2,1,0,7,1,6,7,0.0,0.0,0.7739560485559633
C,2,Morocco,3,2,1,0,6,3,3,7,0.0,0.0,0.4388784397520523
C,3,Scotland,3,1,0,2,1,4,-3,3,0.0,0.0,0.6973680290593639
C,4,Haiti,3,0,0,3,2,8,-6,0,0.0,0.0,0.8585979199113825
D,1,United States,3,2,0,1,8,4,4,6,0.0,0.0,0.7739560485559633
D,2,Australia,3,1,1,1,2,2,0,4,0.0,0.0,0.8585979199113825
D,3,Paraguay,3,1,1,1,2,4,-2,4,0.0,0.0,0.4388784397520523
D,4,Turkey,3,1,0,2,3,5,-2,3,0.0,0.0,0.6973680290593639
E,1,Germany,3,2,0,1,10,4,6,6,0.0,0.0,0.7739560485559633
E,2,Ivory Coast,3,2,0,1,4,2,2,6,0.0,0.0,0.8585979199113825
E,3,Ecuador,3,1,1,1,2,2,0,4,0.0,0.0,0.6973680290593639
E,4,Curaçao,3,0,1,2,1,9,-8,1,0.0,0.0,0.4388784397520523
F,1,Netherlands,3,2,1,0,10,4,6,7,0.0,0.0,0.7739560485559633
F,2,Japan,3,1,2,0,7,3,4,5,0.0,0.0,0.4388784397520523
F,3,Sweden,3,1,1,1,7,7,0,4,0.0,0.0,0.8585979199113825
F,4,Tunisia,3,0,0,3,2,12,-10,0,0.0,0.0,0.6973680290593639
G,1,Egypt,3,2,1,0,6,3,3,7,0.0,0.0,0.4388784397520523
G,2,Belgium,3,0,3,0,4,4,0,3,0.0,0.0,0.7739560485559633
G,3,Iran,3,0,2,1,3,4,-1,2,0.0,0.0,0.8585979199113825
G,4,New Zealand,3,0,2,1,6,8,-2,2,0.0,0.0,0.6973680290593639
H,1,Spain,3,2,1,0,8,0,8,7,0.0,0.0,0.7739560485559633
H,2,Cape Verde,3,1,2,0,4,2,2,5,0.0,0.0,0.4388784397520523
H,3,Uruguay,3,0,2,1,3,7,-4,2,0.0,0.0,0.6973680290593639
H,4,Saudi Arabia,3,0,1,2,1,7,-6,1,0.0,0.0,0.8585979199113825
I,1,France,3,3,0,0,9,3,6,9,0.0,0.0,0.7739560485559633
I,2,Norway,3,2,0,1,9,6,3,6,0.0,0.0,0.6973680290593639
I,3,Iraq,3,1,0,2,2,7,-5,3,0.0,0.0,0.8585979199113825
I,4,Senegal,3,0,0,3,3,7,-4,0,0.0,0.0,0.4388784397520523
J,1,Argentina,3,3,0,0,8,0,8,9,0.0,0.0,0.7739560485559633
J,2,Austria,3,1,1,1,4,4,0,4,0.0,0.0,0.8585979199113825
J,3,Algeria,3,1,1,1,3,5,-2,4,0.0,0.0,0.4388784397520523
J,4,Jordan,3,0,0,3,2,8,-6,0,0.0,0.0,0.6973680290593639
K,1,Portugal,3,2,1,0,9,3,6,7,0.0,0.0,0.7739560485559633
K,2,Colombia,3,2,0,1,6,4,2,6,0.0,0.0,0.6973680290593639
K,3,DR Congo,3,1,1,1,3,3,0,4,0.0,0.0,0.4388784397520523
K,4,Uzbekistan,3,0,0,3,2,10,-8,0,0.0,0.0,0.8585979199113825
L,1,England,3,2,1,0,6,2,4,7,0.0,0.0,0.7739560485559633
L,2,Croatia,3,2,0,1,7,5,2,6,0.0,0.0,0.4388784397520523
L,3,Ghana,3,1,1,1,2,4,-2,4,0.0,0.0,0.8585979199113825
L,4,Panama,3,0,0,3,0,4,-4,0,0.0,0.0,0.6973680290593639
