group,position,team,played,wins,draws,losses,gf,ga,gd,points,conduct_score,ranking_proxy,tie_random_residual,third_random_residual,third_rank,qualifies_as_best_third
F,3,Sweden,3,1,1,1,7,7,0,4,0.0,0.0,0.8585979199113825,0.9756223516367559,1,True
K,3,DR Congo,3,1,1,1,3,3,0,4,0.0,0.0,0.4388784397520523,0.37079802423258124,2,True
E,3,Ecuador,3,1,1,1,2,2,0,4,0.0,0.0,0.6973680290593639,0.09417734788764953,3,True
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,0.0,0.0,0.4388784397520523,0.4388784397520523,4,True
J,3,Algeria,3,1,1,1,3,5,-2,4,0.0,0.0,0.4388784397520523,0.45038593789556713,5,True
L,3,Ghana,3,1,1,1,2,4,-2,4,0.0,0.0,0.8585979199113825,0.9267649888486018,6,True
D,3,Paraguay,3,1,1,1,2,4,-2,4,0.0,0.0,0.4388784397520523,0.6973680290593639,7,True
A,3,South Korea,3,1,0,2,2,3,-1,3,0.0,0.0,0.8585979199113825,0.7739560485559633,8,True
C,3,Scotland,3,1,0,2,1,4,-3,3,0.0,0.0,0.6973680290593639,0.8585979199113825,9,False
I,3,Iraq,3,1,0,2,2,7,-5,3,0.0,0.0,0.8585979199113825,0.12811363267554587,10,False
G,3,Iran,3,0,2,1,3,4,-1,2,0.0,0.0,0.8585979199113825,0.761139701990353,11,False
H,3,Uruguay,3,0,2,1,3,7,-4,2,0.0,0.0,0.6973680290593639,0.7860643052769538,12,False
