date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_played
2026-06-11,Mexico,South Africa,2.0,0.0,FIFA World Cup,Mexico City,Mexico,False,True
2026-06-11,South Korea,Czech Republic,2.0,1.0,FIFA World Cup,Zapopan,Mexico,True,True
2026-06-12,Canada,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup,Toronto,Canada,False,True
2026-06-12,United States,Paraguay,4.0,1.0,FIFA World Cup,Inglewood,United States,False,True
2026-06-13,Qatar,Switzerland,1.0,1.0,FIFA World Cup,Santa Clara,United States,True,True
2026-06-13,Brazil,Morocco,1.0,1.0,FIFA World Cup,East Rutherford,United States,True,True
2026-06-13,Haiti,Scotland,0.0,1.0,FIFA World Cup,Foxborough,United States,True,True
2026-06-13,Australia,Turkey,2.0,0.0,FIFA World Cup,Vancouver,Canada,True,True
2026-06-14,Sweden,Tunisia,5.0,1.0,FIFA World Cup,Guadalupe,Mexico,True,True
2026-06-14,Netherlands,Japan,2.0,2.0,FIFA World Cup,Arlington,United States,True,True
2026-06-14,Germany,Curaçao,7.0,1.0,FIFA World Cup,Houston,United States,True,True
2026-06-14,Ivory Coast,Ecuador,1.0,0.0,FIFA World Cup,Philadelphia,United States,True,True
2026-06-15,Belgium,Egypt,1.0,1.0,FIFA World Cup,Seattle,United States,True,True
2026-06-15,Iran,New Zealand,2.0,2.0,FIFA World Cup,Inglewood,United States,True,True
2026-06-15,Spain,Cape Verde,0.0,0.0,FIFA World Cup,Atlanta,United States,True,True
2026-06-15,Saudi Arabia,Uruguay,1.0,1.0,FIFA World Cup,Miami Gardens,United States,True,True
2026-06-16,Austria,Jordan,3.0,1.0,FIFA World Cup,Santa Clara,United States,True,True
2026-06-16,Argentina,Algeria,3.0,0.0,FIFA World Cup,Kansas City,United States,True,True
2026-06-16,France,Senegal,3.0,1.0,FIFA World Cup,East Rutherford,United States,True,True
2026-06-16,Iraq,Norway,1.0,4.0,FIFA World Cup,Foxborough,United States,True,True
2026-06-17,Portugal,DR Congo,1.0,1.0,FIFA World Cup,Houston,United States,True,True
2026-06-17,Uzbekistan,Colombia,1.0,3.0,FIFA World Cup,Mexico City,Mexico,True,True
2026-06-17,England,Croatia,4.0,2.0,FIFA World Cup,Arlington,United States,True,True
2026-06-17,Ghana,Panama,1.0,0.0,FIFA World Cup,Toronto,Canada,True,True
2026-06-18,Czech Republic,South Africa,1.0,1.0,FIFA World Cup,Atlanta,United States,True,True
2026-06-18,Mexico,South Korea,1.0,0.0,FIFA World Cup,Zapopan,Mexico,False,True
2026-06-18,Switzerland,Bosnia and Herzegovina,4.0,1.0,FIFA World Cup,Inglewood,United States,True,True
2026-06-18,Canada,Qatar,6.0,0.0,FIFA World Cup,Vancouver,Canada,False,True
2026-06-19,Turkey,Paraguay,0.0,1.0,FIFA World Cup,Santa Clara,United States,True,True
2026-06-19,Scotland,Morocco,0.0,1.0,FIFA World Cup,Foxborough,United States,True,True
2026-06-19,Brazil,Haiti,3.0,0.0,FIFA World Cup,Philadelphia,United States,True,True
2026-06-19,United States,Australia,2.0,0.0,FIFA World Cup,Seattle,United States,False,True
2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,United States,True,False
2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,True,False
2026-06-20,Germany,Ivory Coast,,,FIFA World Cup,Toronto,Canada,True,False
2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,United States,True,False
2026-06-21,Belgium,Iran,,,FIFA World Cup,Inglewood,United States,True,False
2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,True,False
2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup,Atlanta,United States,True,False
2026-06-21,Uruguay,Cape Verde,,,FIFA World Cup,Miami Gardens,United States,True,False
2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,United States,True,False
2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,True,False
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True,False
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True,False
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True,False
2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True,False
