feature,in_basic,in_advanced,missing_basic,missing_advanced
neutral,True,True,False,False
peso_competicion,True,True,False,False
unbeaten_streak_pre_L,True,True,False,False
win_streak_pre_L,True,True,False,False
scoring_streak_pre_L,True,True,False,False
goals_for_avg_5_L,True,True,False,False
goals_against_avg_5_L,True,True,False,False
goal_diff_avg_5_L,True,True,False,False
points_avg_5_L,True,True,False,False
win_avg_5_L,True,True,False,False
draw_avg_5_L,True,True,False,False
loss_avg_5_L,True,True,False,False
clean_sheet_avg_5_L,True,True,False,False
failed_to_score_avg_5_L,True,True,False,False
weighted_points_avg_5_L,True,True,False,False
goals_for_avg_10_L,True,True,False,False
goals_against_avg_10_L,True,True,False,False
goal_diff_avg_10_L,True,True,False,False
points_avg_10_L,True,True,False,False
win_avg_10_L,True,True,False,False
draw_avg_10_L,True,True,False,False
loss_avg_10_L,True,True,False,False
clean_sheet_avg_10_L,True,True,False,False
failed_to_score_avg_10_L,True,True,False,False
weighted_points_avg_10_L,True,True,False,False
goals_for_avg_20_L,True,True,False,False
goals_against_avg_20_L,True,True,False,False
goal_diff_avg_20_L,True,True,False,False
points_avg_20_L,True,True,False,False
draw_avg_20_L,True,True,False,False
loss_avg_20_L,True,True,False,False
clean_sheet_avg_20_L,True,True,False,False
failed_to_score_avg_20_L,True,True,False,False
weighted_points_avg_20_L,True,True,False,False
unbeaten_streak_pre_V,True,True,False,False
win_streak_pre_V,True,True,False,False
scoring_streak_pre_V,True,True,False,False
goals_for_avg_5_V,True,True,False,False
goals_against_avg_5_V,True,True,False,False
goal_diff_avg_5_V,True,True,False,False
points_avg_5_V,True,True,False,False
win_avg_5_V,True,True,False,False
draw_avg_5_V,True,True,False,False
loss_avg_5_V,True,True,False,False
clean_sheet_avg_5_V,True,True,False,False
failed_to_score_avg_5_V,True,True,False,False
weighted_points_avg_5_V,True,True,False,False
goals_for_avg_10_V,True,True,False,False
goals_against_avg_10_V,True,True,False,False
goal_diff_avg_10_V,True,True,False,False
points_avg_10_V,True,True,False,False
win_avg_10_V,True,True,False,False
draw_avg_10_V,True,True,False,False
loss_avg_10_V,True,True,False,False
clean_sheet_avg_10_V,True,True,False,False
failed_to_score_avg_10_V,True,True,False,False
weighted_points_avg_10_V,True,True,False,False
goals_for_avg_20_V,True,True,False,False
goals_against_avg_20_V,True,True,False,False
goal_diff_avg_20_V,True,True,False,False
points_avg_20_V,True,True,False,False
win_avg_20_V,True,True,False,False
draw_avg_20_V,True,True,False,False
loss_avg_20_V,True,True,False,False
clean_sheet_avg_20_V,True,True,False,False
failed_to_score_avg_20_V,True,True,False,False
weighted_points_avg_20_V,True,True,False,False
elo_local_pre,True,True,False,False
elo_visitante_pre,True,True,False,False
diff_elo_pre,True,True,False,False
h2h_matches,True,True,False,False
h2h_weight_sum,True,True,False,False
diff_goals_for_avg_5,True,True,False,False
diff_goals_against_avg_5,True,True,False,False
diff_goal_diff_avg_5,True,True,False,False
diff_points_avg_5,True,True,False,False
diff_win_avg_5,True,True,False,False
diff_draw_avg_5,True,True,False,False
diff_loss_avg_5,True,True,False,False
diff_clean_sheet_avg_5,True,True,False,False
diff_failed_to_score_avg_5,True,True,False,False
diff_btts_avg_5,True,True,False,False
diff_over_2_5_avg_5,True,True,False,False
diff_weighted_points_avg_5,True,True,False,False
diff_goals_for_avg_10,True,True,False,False
diff_goals_against_avg_10,True,True,False,False
diff_goal_diff_avg_10,True,True,False,False
diff_points_avg_10,True,True,False,False
diff_win_avg_10,True,True,False,False
diff_draw_avg_10,True,True,False,False
diff_loss_avg_10,True,True,False,False
diff_clean_sheet_avg_10,True,True,False,False
diff_failed_to_score_avg_10,True,True,False,False
diff_btts_avg_10,True,True,False,False
diff_over_2_5_avg_10,True,True,False,False
diff_weighted_points_avg_10,True,True,False,False
diff_goals_for_avg_20,True,True,False,False
diff_goals_against_avg_20,True,True,False,False
diff_goal_diff_avg_20,True,True,False,False
diff_points_avg_20,True,True,False,False
diff_win_avg_20,True,True,False,False
diff_draw_avg_20,True,True,False,False
diff_loss_avg_20,True,True,False,False
diff_clean_sheet_avg_20,True,True,False,False
diff_failed_to_score_avg_20,True,True,False,False
diff_btts_avg_20,True,True,False,False
