feature,in_modeling_dataset,in_modeling_dataset_advanced,missing_in_basic,missing_in_advanced
neutral,True,False,False,True
peso_competicion,True,False,False,True
unbeaten_streak_pre_L,True,False,False,True
win_streak_pre_L,True,False,False,True
scoring_streak_pre_L,True,False,False,True
goals_for_avg_5_L,True,False,False,True
goals_against_avg_5_L,True,False,False,True
goal_diff_avg_5_L,True,False,False,True
points_avg_5_L,True,False,False,True
win_avg_5_L,True,False,False,True
draw_avg_5_L,True,False,False,True
loss_avg_5_L,True,False,False,True
clean_sheet_avg_5_L,True,False,False,True
failed_to_score_avg_5_L,True,False,False,True
weighted_points_avg_5_L,True,False,False,True
goals_for_avg_10_L,True,False,False,True
goals_against_avg_10_L,True,False,False,True
goal_diff_avg_10_L,True,False,False,True
points_avg_10_L,True,False,False,True
win_avg_10_L,True,False,False,True
draw_avg_10_L,True,False,False,True
loss_avg_10_L,True,False,False,True
clean_sheet_avg_10_L,True,False,False,True
failed_to_score_avg_10_L,True,False,False,True
weighted_points_avg_10_L,True,False,False,True
goals_for_avg_20_L,True,False,False,True
goals_against_avg_20_L,True,False,False,True
goal_diff_avg_20_L,True,False,False,True
points_avg_20_L,True,False,False,True
draw_avg_20_L,True,False,False,True
loss_avg_20_L,True,False,False,True
clean_sheet_avg_20_L,True,False,False,True
failed_to_score_avg_20_L,True,False,False,True
weighted_points_avg_20_L,True,False,False,True
unbeaten_streak_pre_V,True,False,False,True
win_streak_pre_V,True,False,False,True
scoring_streak_pre_V,True,False,False,True
goals_for_avg_5_V,True,False,False,True
goals_against_avg_5_V,True,False,False,True
goal_diff_avg_5_V,True,False,False,True
points_avg_5_V,True,False,False,True
win_avg_5_V,True,False,False,True
draw_avg_5_V,True,False,False,True
loss_avg_5_V,True,False,False,True
clean_sheet_avg_5_V,True,False,False,True
failed_to_score_avg_5_V,True,False,False,True
weighted_points_avg_5_V,True,False,False,True
goals_for_avg_10_V,True,False,False,True
goals_against_avg_10_V,True,False,False,True
goal_diff_avg_10_V,True,False,False,True
points_avg_10_V,True,False,False,True
win_avg_10_V,True,False,False,True
draw_avg_10_V,True,False,False,True
loss_avg_10_V,True,False,False,True
clean_sheet_avg_10_V,True,False,False,True
failed_to_score_avg_10_V,True,False,False,True
weighted_points_avg_10_V,True,False,False,True
goals_for_avg_20_V,True,False,False,True
goals_against_avg_20_V,True,False,False,True
goal_diff_avg_20_V,True,False,False,True
points_avg_20_V,True,False,False,True
win_avg_20_V,True,False,False,True
draw_avg_20_V,True,False,False,True
loss_avg_20_V,True,False,False,True
clean_sheet_avg_20_V,True,False,False,True
failed_to_score_avg_20_V,True,False,False,True
weighted_points_avg_20_V,True,False,False,True
elo_local_pre,True,False,False,True
elo_visitante_pre,True,False,False,True
diff_elo_pre,True,False,False,True
h2h_matches,True,False,False,True
h2h_weight_sum,True,False,False,True
diff_goals_for_avg_5,True,False,False,True
diff_goals_against_avg_5,True,False,False,True
diff_goal_diff_avg_5,True,False,False,True
diff_points_avg_5,True,False,False,True
diff_win_avg_5,True,False,False,True
diff_draw_avg_5,True,False,False,True
diff_loss_avg_5,True,False,False,True
diff_clean_sheet_avg_5,True,False,False,True
diff_failed_to_score_avg_5,True,False,False,True
diff_btts_avg_5,True,False,False,True
diff_over_2_5_avg_5,True,False,False,True
diff_weighted_points_avg_5,True,False,False,True
diff_goals_for_avg_10,True,False,False,True
diff_goals_against_avg_10,True,False,False,True
diff_goal_diff_avg_10,True,False,False,True
diff_points_avg_10,True,False,False,True
diff_win_avg_10,True,False,False,True
diff_draw_avg_10,True,False,False,True
diff_loss_avg_10,True,False,False,True
diff_clean_sheet_avg_10,True,False,False,True
diff_failed_to_score_avg_10,True,False,False,True
diff_btts_avg_10,True,False,False,True
diff_over_2_5_avg_10,True,False,False,True
diff_weighted_points_avg_10,True,False,False,True
diff_goals_for_avg_20,True,False,False,True
diff_goals_against_avg_20,True,False,False,True
diff_goal_diff_avg_20,True,False,False,True
diff_points_avg_20,True,False,False,True
diff_win_avg_20,True,False,False,True
diff_draw_avg_20,True,False,False,True
diff_loss_avg_20,True,False,False,True
diff_clean_sheet_avg_20,True,False,False,True
diff_failed_to_score_avg_20,True,False,False,True
diff_btts_avg_20,True,False,False,True
diff_over_2_5_avg_20,True,False,False,True
diff_weighted_points_avg_20,True,False,False,True
diff_prev_matches_count,True,False,False,True
diff_unbeaten_streak_pre,True,False,False,True
diff_win_streak_pre,True,False,False,True
diff_scoring_streak_pre,True,False,False,True
advanced_matches_count_total_L,False,False,True,True
corners_for_avg_5_L,False,False,True,True
corners_against_avg_5_L,False,False,True,True
yellow_cards_for_avg_5_L,False,False,True,True
yellow_cards_against_avg_5_L,False,False,True,True
fouls_for_avg_5_L,False,False,True,True
fouls_against_avg_5_L,False,False,True,True
shots_for_avg_5_L,False,False,True,True
shots_against_avg_5_L,False,False,True,True
xg_for_avg_5_L,False,False,True,True
xg_against_avg_5_L,False,False,True,True
advanced_matches_count_5_L,False,False,True,True
corners_for_avg_10_L,False,False,True,True
corners_against_avg_10_L,False,False,True,True
yellow_cards_against_avg_10_L,False,False,True,True
fouls_for_avg_10_L,False,False,True,True
fouls_against_avg_10_L,False,False,True,True
shots_for_avg_10_L,False,False,True,True
xg_for_avg_10_L,False,False,True,True
xg_against_avg_10_L,False,False,True,True
advanced_matches_count_10_L,False,False,True,True
advanced_matches_count_total_V,False,False,True,True
corners_for_avg_5_V,False,False,True,True
corners_against_avg_5_V,False,False,True,True
yellow_cards_for_avg_5_V,False,False,True,True
yellow_cards_against_avg_5_V,False,False,True,True
fouls_for_avg_5_V,False,False,True,True
fouls_against_avg_5_V,False,False,True,True
shots_for_avg_5_V,False,False,True,True
shots_against_avg_5_V,False,False,True,True
xg_for_avg_5_V,False,False,True,True
xg_against_avg_5_V,False,False,True,True
advanced_matches_count_5_V,False,False,True,True
corners_for_avg_10_V,False,False,True,True
corners_against_avg_10_V,False,False,True,True
yellow_cards_against_avg_10_V,False,False,True,True
fouls_for_avg_10_V,False,False,True,True
fouls_against_avg_10_V,False,False,True,True
shots_for_avg_10_V,False,False,True,True
shots_against_avg_10_V,False,False,True,True
xg_for_avg_10_V,False,False,True,True
xg_against_avg_10_V,False,False,True,True
advanced_matches_count_10_V,False,False,True,True
diff_corners_for_avg_5,False,False,True,True
diff_corners_against_avg_5,False,False,True,True
diff_yellow_cards_for_avg_5,False,False,True,True
diff_yellow_cards_against_avg_5,False,False,True,True
diff_red_cards_for_avg_5,False,False,True,True
diff_red_cards_against_avg_5,False,False,True,True
diff_fouls_for_avg_5,False,False,True,True
diff_fouls_against_avg_5,False,False,True,True
diff_shots_for_avg_5,False,False,True,True
diff_shots_against_avg_5,False,False,True,True
diff_shots_on_target_for_avg_5,False,False,True,True
diff_shots_on_target_against_avg_5,False,False,True,True
diff_xg_for_avg_5,False,False,True,True
diff_xg_against_avg_5,False,False,True,True
